"","country","creative","rich","equality","admired","safe","newthings","rules","understanding","modesty","enjoy","free","help","success","strong_gov","exciting","properbehaviour","respected","loyal","environment","traditions","seekfun"
"24644","IL",3,3,6,5,6,2,4,3,2,1,4,6,3,6,1,4,3,6,4,4,1
"4434","CH",5,3,5,5,6,4,3,5,5,5,6,5,5,5,6,5,4,5,5,5,4
"38385","RU",2,3,3,4,2,3,2,3,4,4,3,4,3,3,3,2,3,4,4,3,4
"38830","SE",6,2,5,5,5,5,4,5,3,5,3,5,3,5,4,4,4,5,5,5,5
"169","AT",5,4,4,5,5,4,2,3,4,5,6,5,5,4,5,4,5,5,5,4,4
"38888","SE",4,2,5,2,5,3,4,3,5,3,5,5,2,5,3,3,3,5,5,3,5
"3777","CH",5,4,4,5,3,2,3,5,6,4,3,3,2,2,1,1,2,3,3,3,3
"12518","ES",5,2,6,5,5,5,2,3,5,4,5,6,5,5,2,5,4,5,5,4,2
"21389","IE",5,2,5,4,6,4,4,5,5,2,5,5,2,5,3,4,5,5,5,5,5
"259","AT",4,3,5,6,6,5,5,2,5,3,6,4,5,5,5,4,6,6,3,1,4
"3261","BE",5,1,6,4,5,5,2,5,5,5,6,6,4,5,2,5,5,5,6,5,5
"41091","SI",5,2,6,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5
"6393","CZ",2,2,3,2,3,2,2,3,3,2,2,2,2,3,2,3,3,3,2,3,2
"36533","PT",3,3,1,4,4,4,4,3,4,4,4,5,3,3,3,6,4,3,3,3,4
"888","AT",5,5,5,4,5,5,3,4,3,5,5,5,5,5,4,5,4,6,6,4,5
"35092","PL",5,1,4,4,5,5,4,4,4,4,4,5,4,4,4,4,4,5,3,5,4
"30276","LT",5,4,5,6,6,5,5,4,4,5,3,5,6,6,5,5,5,6,6,4,5
"6892","CZ",3,2,5,3,6,4,4,3,4,3,5,5,3,6,2,6,3,5,5,4,4
"13313","ES",6,2,5,2,5,4,5,4,5,6,6,6,3,6,3,4,5,6,4,5,4
"41085","SI",3,2,5,3,6,6,4,5,5,3,5,6,4,6,1,5,4,5,6,6,4
"30419","LT",4,2,5,2,4,2,2,3,5,3,4,4,4,3,2,3,3,2,3,3,2
"18308","GB",3,2,5,3,3,5,4,4,3,4,6,6,2,5,5,4,3,5,4,4,5
"23069","IE",4,2,6,4,2,4,3,5,4,6,5,5,2,5,4,6,2,5,6,2,5
"9030","DE",5,2,5,5,5,5,2,5,5,5,5,5,5,5,1,5,2,5,5,2,5
"321","AT",4,3,6,5,6,6,6,6,4,4,6,6,4,6,3,6,6,6,6,6,4
"16399","FR",5,2,3,3,4,5,5,2,4,5,5,5,3,5,2,4,5,5,5,5,5
"32276","NO",5,2,5,5,5,2,6,6,6,5,5,5,5,5,2,6,2,5,5,6,5
"13549","ES",5,3,5,5,5,2,4,5,5,5,6,6,5,5,2,5,4,6,5,6,4
"9470","DE",6,6,6,6,5,2,5,5,2,6,6,5,6,5,5,5,6,5,6,6,6
"31316","NL",5,3,4,5,4,5,6,5,4,5,5,5,4,4,3,5,5,5,4,5,5
"745","AT",5,2,6,6,6,3,4,5,5,5,6,5,5,6,3,6,5,6,6,3,5
"30580","LT",4,4,3,3,2,4,2,2,3,4,3,3,3,3,3,3,4,4,3,3,2
"17048","FR",3,3,3,5,6,6,3,3,6,6,5,6,4,6,3,6,6,6,6,6,6
"19542","HU",5,2,5,2,6,2,4,4,5,4,5,3,3,4,2,4,2,3,5,5,5
"35261","PL",6,2,6,4,6,2,6,4,4,2,6,5,4,6,2,5,6,6,6,5,3
"4732","CH",5,4,6,6,6,6,6,5,6,6,6,6,6,6,5,6,5,6,4,5,6
"17625","GB",6,2,5,5,2,3,2,6,4,3,5,6,2,5,3,5,4,5,4,4,3
"3626","BE",4,3,5,5,4,5,1,6,4,4,6,4,5,3,6,1,3,6,5,4,5
"9204","DE",3,2,6,2,4,4,2,5,5,4,4,4,2,3,2,2,2,5,6,5,4
"39786","SE",6,2,6,4,4,6,5,5,5,5,5,6,3,4,5,4,3,5,6,3,5
"14102","FI",4,2,6,2,5,5,1,5,4,5,5,5,3,4,4,3,4,5,6,3,5
"14256","FI",5,4,5,4,5,6,5,6,5,5,6,5,5,5,5,6,4,5,5,4,5
"10240","EE",4,4,5,3,5,3,5,5,4,5,4,4,3,4,3,5,3,5,4,4,3
"1824","AT",5,3,6,4,6,5,3,6,3,5,6,5,5,6,4,4,5,6,6,5,5
"29443","LT",1,2,6,2,6,3,4,5,5,3,5,5,3,2,3,5,6,5,5,6,3
"41146","SI",5,4,6,4,6,5,4,5,6,5,5,5,5,5,2,5,5,6,6,6,3
"4862","CH",5,3,4,6,2,6,1,6,6,6,6,5,2,5,5,3,4,6,6,4,6
"38923","SE",4,2,5,2,3,3,2,5,4,4,3,5,3,3,2,3,3,5,5,4,4
"11891","EE",3,3,6,2,6,3,3,4,5,4,4,4,4,5,3,4,4,5,5,5,5
"2339","BE",4,2,6,5,6,4,4,5,3,2,4,6,5,6,2,6,4,6,6,5,5
"33453","NO",2,2,4,4,4,3,5,4,2,4,4,3,4,5,3,5,3,5,5,3,2
"21434","IE",5,4,6,5,5,5,5,5,3,4,5,5,3,5,3,5,5,5,5,5,4
"14036","FI",5,3,6,5,5,6,6,6,6,4,6,5,6,6,4,6,4,6,6,6,4
"28186","IT",5,2,5,4,5,5,2,5,5,5,5,5,5,5,5,5,4,5,5,5,5
"22402","IE",5,1,6,5,5,4,5,4,5,5,6,5,5,5,6,5,5,5,4,5,5
"359","AT",4,4,5,5,6,3,3,5,3,5,5,5,5,6,2,6,5,6,5,5,4
"16327","FR",6,1,6,3,6,2,2,6,6,6,6,6,2,6,1,6,3,6,6,3,6
"13328","ES",6,2,5,2,6,4,4,3,6,2,6,5,5,6,3,6,4,6,6,4,5
"18048","GB",6,2,5,5,5,5,2,5,2,5,5,2,5,5,4,2,5,5,3,3,5
"24911","IL",3,3,6,6,5,2,4,4,5,5,4,6,5,6,6,6,5,5,4,6,5
"22978","IE",5,3,5,5,6,5,6,5,5,3,6,6,5,6,3,6,5,6,6,6,5
"41029","SI",4,1,5,2,6,6,6,6,6,6,6,6,2,6,1,2,6,6,6,6,6
"12207","ES",6,2,5,3,6,5,2,3,4,4,6,6,5,6,4,5,5,5,5,3,2
"35381","PT",6,3,6,4,5,6,5,4,2,4,6,5,5,4,6,3,4,6,6,3,5
"37673","RU",5,5,3,4,3,5,6,4,2,4,3,5,4,5,5,4,3,4,6,5,4
"6284","CZ",5,5,4,6,5,4,4,4,4,6,6,4,4,5,3,4,5,5,4,5,5
"41216","SI",5,2,6,5,5,4,5,6,6,5,5,6,4,6,5,4,5,5,5,4,5
"40449","SI",6,1,6,5,5,5,5,5,5,4,5,5,4,5,4,5,5,4,5,5,5
"30248","LT",2,3,3,2,3,2,2,2,3,3,3,4,4,4,2,3,3,3,2,3,3
"30766","NL",4,1,5,4,6,1,5,6,6,4,4,6,4,4,1,6,3,6,5,4,5
"15858","FR",5,2,5,5,5,5,4,5,5,5,5,5,2,5,3,5,5,6,6,5,5
"35250","PL",5,2,5,2,6,3,5,6,5,5,6,3,2,1,6,5,4,6,2,5,2
"40346","SI",4,1,6,5,6,4,5,5,6,4,5,6,5,5,3,4,5,5,6,6,3
"1769","AT",5,3,6,4,5,5,4,4,5,4,5,6,3,5,3,5,4,5,5,5,4
"21201","IE",6,1,5,5,5,6,5,6,6,2,6,5,2,5,2,5,2,5,6,5,2
"29430","LT",3,4,3,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,4,4,3
"40559","SI",2,2,5,5,5,5,2,5,5,2,5,4,5,5,4,5,2,4,6,6,5
"18869","GB",5,4,5,5,5,3,4,3,2,3,4,5,3,4,4,4,5,4,3,4,4
"39518","SE",6,2,5,3,2,4,3,6,5,4,4,5,2,4,4,4,4,5,4,3,3
"40982","SI",5,2,6,5,6,4,5,5,4,5,6,5,6,5,6,5,6,4,5,2,6
"39247","SE",4,2,5,2,2,4,2,4,4,5,5,4,2,5,2,2,2,4,5,2,4
"1334","AT",3,3,5,4,5,2,3,5,3,3,4,5,2,5,1,6,5,5,4,5,3
"35157","PL",4,3,6,3,5,4,5,5,2,2,4,6,5,4,3,4,3,5,5,5,2
"21238","IE",5,3,5,4,5,5,5,5,5,2,6,4,5,6,6,6,5,5,5,3,5
"3098","BE",5,3,4,4,5,3,3,4,4,4,4,5,4,6,2,5,5,6,6,3,5
"3221","BE",6,2,6,3,3,6,1,5,4,3,6,5,5,5,6,2,2,5,4,5,5
"41292","SI",5,4,5,5,5,6,2,5,5,6,6,6,6,6,5,4,6,4,5,3,6
"7337","DE",4,1,3,1,3,3,2,5,5,5,4,6,4,2,2,4,5,4,2,5,4
"23366","IE",1,2,4,5,5,2,1,3,3,2,5,5,3,2,2,4,5,5,3,2,3
"33455","NO",4,2,5,2,4,4,5,5,2,2,2,6,2,4,2,5,2,6,5,5,4
"7000","CZ",5,4,4,5,5,5,3,4,4,5,5,5,5,5,4,4,4,5,5,4,4
"123","AT",6,2,5,3,6,5,2,4,3,5,5,6,4,6,4,4,2,6,6,6,4
"8181","DE",6,2,5,5,2,6,2,6,2,6,6,6,6,5,6,1,1,6,2,5,6
"14123","FI",2,4,4,4,4,5,4,6,6,6,6,6,4,3,5,5,4,6,5,4,6
"34800","PL",6,6,2,6,2,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,5
"20322","HU",5,3,5,5,4,6,4,5,4,6,5,3,5,4,3,5,4,6,6,2,3
"40706","SI",5,2,6,5,4,2,5,6,3,5,5,6,3,6,2,3,3,6,6,4,5
"8891","DE",4,2,6,3,6,4,4,5,6,6,6,6,3,6,2,5,4,6,6,5,6
"223","AT",3,3,4,3,5,2,5,5,5,4,3,5,3,5,1,5,4,5,5,6,4
"30475","LT",4,2,4,3,5,4,2,4,4,4,4,5,5,5,4,2,4,4,4,4,3
"30327","LT",4,4,3,6,4,6,6,3,3,4,4,5,3,3,5,3,5,5,4,3,5
"24047","IL",3,2,3,4,5,6,3,4,5,6,6,6,5,4,5,3,2,5,3,5,6
"25147","IL",6,3,5,6,4,4,1,5,4,5,5,5,4,5,3,2,3,6,6,4,3
"12440","ES",4,1,5,2,5,2,5,4,5,2,4,5,2,5,2,5,5,5,5,5,2
"40677","SI",5,2,6,2,5,5,3,5,5,4,5,5,3,5,3,5,4,4,5,4,4
"4659","CH",4,1,5,5,5,2,3,5,6,3,5,6,5,5,1,5,3,5,5,5,2
"31269","NL",5,2,6,3,5,4,2,5,5,5,5,5,2,5,4,4,5,5,5,4,4
"6229","CZ",3,4,4,4,5,4,3,2,2,4,3,3,3,3,2,3,3,4,4,4,5
"26782","IT",4,4,3,4,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,4,3
"2296","BE",4,3,4,3,4,4,5,5,5,4,5,6,4,5,2,5,4,5,4,5,4
"40811","SI",6,2,4,5,5,5,5,5,6,3,5,5,5,5,5,5,5,6,5,5,3
"33523","NO",5,4,3,3,4,4,4,5,4,5,4,5,3,6,5,4,2,4,4,4,5
"4277","CH",6,4,5,5,6,6,4,6,5,6,6,4,2,5,4,5,4,4,5,5,5
"25280","IL",4,2,5,4,5,3,5,5,5,3,5,5,4,4,3,5,5,4,5,5,3
"30527","LT",2,5,3,3,5,2,3,3,3,4,4,4,4,4,2,3,4,4,4,4,3
"8952","DE",5,4,4,5,3,2,3,6,5,6,6,5,6,6,3,3,1,6,5,5,4
"28129","IT",6,3,6,4,4,5,4,4,5,1,6,4,5,5,2,3,2,4,5,4,2
"8173","DE",4,2,6,5,2,6,1,5,3,5,6,5,2,3,5,1,2,6,5,1,6
"13976","FI",3,4,4,4,5,4,3,4,4,4,6,4,3,3,4,5,5,5,4,2,4
"36387","PT",6,2,6,6,6,5,4,6,5,3,6,6,6,6,2,2,6,6,6,6,4
"34914","PL",2,2,5,1,5,1,5,3,3,2,4,2,2,5,2,3,3,2,2,2,2
"12185","ES",5,2,6,2,6,1,2,5,6,1,6,4,1,6,1,4,1,5,6,5,3
"40235","SI",5,2,5,4,4,4,1,4,5,5,6,5,5,4,2,2,2,5,6,2,5
"8178","DE",5,2,5,2,4,3,2,5,3,2,5,4,3,5,2,3,4,6,6,4,2
"32594","NO",6,3,4,4,1,6,5,3,2,5,3,6,5,5,6,3,3,6,1,5,5
"16187","FR",4,1,5,2,5,2,4,5,5,5,5,5,1,5,1,5,2,5,5,4,3
"40383","SI",3,4,3,3,4,4,3,3,5,4,3,3,4,5,4,5,4,3,3,4,3
"14645","FI",4,5,6,6,6,5,4,5,4,6,5,6,6,6,3,3,4,6,5,4,6
"38162","RU",4,4,6,4,4,4,4,2,4,4,4,4,4,6,4,4,4,4,5,4,4
"34752","PL",6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"29879","LT",5,2,5,2,6,5,5,5,6,4,6,4,3,6,4,3,4,5,6,5,5
"2881","BE",5,3,5,3,5,3,2,4,3,4,5,4,3,4,4,4,3,5,6,4,4
"25191","IL",6,4,5,4,5,3,6,5,4,5,4,5,4,5,4,5,4,5,4,6,5
"21258","IE",5,5,6,3,6,6,5,5,5,5,5,5,2,2,3,2,2,2,2,2,4
"37703","RU",6,4,6,6,6,6,3,6,2,3,6,6,6,5,2,3,5,6,6,4,3
"38703","SE",4,2,6,2,5,2,3,6,4,3,2,5,2,5,2,2,4,6,5,1,3
"10398","EE",4,1,6,4,6,5,4,6,6,4,4,6,4,6,4,5,1,6,6,6,1
"3401","BE",4,1,6,2,6,3,6,6,5,4,3,6,2,6,1,6,4,6,6,6,3
"29523","LT",3,4,5,3,6,2,3,3,5,3,5,5,3,6,2,3,4,5,5,5,2
"36757","RU",3,5,4,4,6,3,4,5,4,5,4,3,4,4,5,6,4,4,6,4,5
"30544","LT",2,1,4,2,5,2,4,4,3,4,3,2,2,2,1,4,5,3,2,5,1
"40371","SI",5,2,5,4,5,2,2,2,6,5,5,5,5,6,2,5,5,5,5,5,2
"14137","FI",5,2,5,4,5,2,2,5,4,4,5,5,2,4,1,3,3,4,6,4,4
"3658","CH",4,3,1,4,5,5,2,4,4,6,6,3,5,4,5,6,6,6,5,4,6
"17422","FR",4,1,6,3,5,4,1,6,5,5,5,5,3,4,5,4,2,5,6,5,6
"29454","LT",2,3,6,3,6,2,2,5,5,3,5,4,5,6,2,5,2,5,3,5,2
"34160","PL",3,4,6,4,6,4,6,4,6,3,6,5,4,6,3,6,6,5,5,6,2
"25799","IS",6,1,6,5,4,2,4,6,6,6,5,6,5,5,4,4,4,6,6,5,5
"133","AT",5,4,4,4,5,5,4,4,3,5,5,4,5,4,3,4,4,5,4,5,5
"10451","EE",4,2,5,4,5,5,4,4,5,5,5,5,3,5,1,5,2,5,5,3,3
"15918","FR",5,3,3,5,5,4,5,4,5,5,3,5,5,5,5,5,4,4,4,4,4
"33245","NO",6,2,6,6,6,5,4,6,6,6,6,6,6,6,4,6,1,6,6,5,5
"26596","IT",6,2,5,3,5,6,5,6,5,4,6,6,6,3,4,6,6,5,4,3,3
"24654","IL",6,4,5,6,5,3,4,3,4,4,4,4,3,6,2,3,4,6,4,6,3
"3884","CH",6,3,5,5,5,3,4,4,5,4,4,5,4,4,2,4,4,5,4,4,3
"8309","DE",5,3,5,3,5,3,4,6,5,5,5,5,5,5,5,6,4,6,6,3,5
"519","AT",5,2,3,4,3,3,5,4,4,3,3,4,5,2,4,3,4,4,4,5,2
"16058","FR",4,2,5,1,3,2,3,4,5,3,5,5,6,4,2,5,2,4,2,5,2
"26263","IS",5,2,4,2,6,4,5,5,5,6,5,5,3,5,2,5,3,6,5,4,3
"212","AT",4,3,5,5,4,6,4,5,5,5,5,5,4,4,4,5,5,6,5,6,6
"39926","SE",5,1,4,6,2,5,4,6,3,2,3,5,6,1,3,6,4,2,5,1,4
"1849","AT",6,2,6,6,6,2,2,6,6,5,6,6,6,6,2,6,6,6,6,6,4
"30806","NL",4,1,5,6,5,5,1,6,6,3,6,5,4,3,2,4,4,6,5,1,4
"33939","PL",6,2,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6
"21814","IE",6,3,6,6,6,6,4,5,2,3,6,6,6,6,1,3,5,6,5,3,3
"2565","BE",4,4,5,3,4,6,2,5,5,4,5,5,5,4,5,5,3,6,3,4,5
"32472","NO",6,3,4,2,3,1,5,5,2,2,5,4,2,4,2,5,5,4,4,4,3
"16433","FR",4,2,5,2,2,3,2,4,3,4,4,5,2,3,2,2,2,4,5,5,3
"28198","IT",5,3,5,5,5,5,5,5,5,3,3,4,4,4,2,5,5,5,5,5,3
"37321","RU",5,4,3,3,4,3,6,3,4,3,5,5,5,3,4,5,6,3,5,5,2
"28473","IT",6,3,5,4,4,5,5,6,5,3,5,5,6,5,5,5,5,6,4,3,6
"12665","ES",6,4,6,4,6,3,5,5,6,2,4,6,4,6,3,6,5,5,4,6,2
"30031","LT",6,4,3,5,4,4,3,3,3,3,4,4,5,4,3,3,5,4,4,4,3
"39654","SE",4,2,6,2,3,2,3,5,3,2,4,5,2,3,2,6,4,5,2,3,4
"26304","IS",5,2,5,3,6,6,3,4,3,4,6,5,4,5,5,3,5,5,6,5,3
"57","AT",4,3,6,5,4,5,3,4,4,4,4,5,4,5,5,2,5,6,6,3,4
"19771","HU",6,1,4,6,4,6,4,5,6,3,6,2,6,1,5,4,5,6,4,6,5
"25596","IL",5,3,3,5,5,4,3,3,5,6,5,4,5,4,3,5,4,4,5,4,5
"31153","NL",6,3,6,5,6,6,5,6,2,6,6,5,2,6,4,6,5,5,5,4,5
"33158","NO",3,2,3,3,4,2,5,3,3,5,4,4,3,3,5,5,2,5,4,3,5
"31206","NL",5,2,5,4,2,4,1,5,3,5,5,5,3,2,6,2,3,5,5,2,5
"8257","DE",5,4,6,6,5,4,5,5,5,5,5,6,5,6,1,3,5,5,5,6,5
"5147","CZ",4,4,5,4,6,5,6,5,4,4,5,5,4,6,2,5,4,5,6,4,4
"11783","EE",4,2,6,4,5,4,3,5,6,5,5,4,5,5,4,5,2,5,6,3,5
"13738","FI",4,4,5,2,4,3,5,5,4,4,5,6,4,5,4,5,4,5,5,5,4
"38295","RU",5,5,5,5,5,4,4,4,4,4,4,4,5,5,3,3,5,5,5,4,5
"39766","SE",6,2,5,2,2,5,3,5,5,5,4,6,4,4,4,3,2,6,3,2,6
"18033","GB",5,2,4,4,6,4,5,4,5,2,5,4,4,5,3,5,5,5,4,5,2
"10044","EE",6,2,3,5,3,6,6,6,2,6,6,5,4,5,5,5,2,6,6,6,6
"18675","GB",4,1,5,5,5,2,4,6,5,2,3,5,4,5,2,5,3,5,5,2,2
"37424","RU",3,2,5,4,3,3,2,1,2,2,3,3,2,6,2,2,3,3,5,4,3
"6252","CZ",5,5,5,3,6,6,6,2,6,2,5,3,4,6,1,6,4,6,6,6,2
"19721","HU",5,3,3,3,5,3,2,4,3,5,5,3,2,5,2,3,2,3,5,4,5
"26843","IT",3,3,4,3,4,3,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4
"24450","IL",3,2,5,2,3,1,2,4,5,2,3,5,2,4,1,3,2,4,5,3,1
"40420","SI",5,2,6,5,6,5,5,2,6,5,5,6,5,5,2,5,2,5,5,5,5
"31284","NL",2,1,5,2,1,2,2,2,3,2,5,4,2,2,2,2,2,2,4,4,2
"30767","NL",2,1,5,4,5,5,5,4,5,5,5,4,5,5,5,5,2,2,5,5,5
"31987","NL",1,2,4,1,2,5,1,4,4,5,5,4,1,5,3,1,1,6,6,1,6
"3090","BE",5,2,4,1,2,4,2,5,2,5,6,6,3,3,2,4,3,5,6,5,5
"33216","NO",5,5,5,2,4,2,4,5,3,3,4,4,2,4,3,4,3,3,3,3,3
